datetime,tempmax,temp,humidity,cloudcover,windspeed,solarenergy,precipcover,Day_Length,conditions
8/30/2025,27.5,24.3,69,65,7.4,4.52500362,20.83333333,13.12853889,Thunderstorm
8/31/2025,26.7,23.9,75,48,8.6,5.6388934,37.5,13.08748889,Thunderstorm
9/1/2025,28.1,24.1,63,0,7.8,6.24167166,0,13.046425,Clear
9/2/2025,29.4,24.9,52,0,7.4,6.16944938,0,13.005375,Clear
9/3/2025,28.4,25.2,61,48,6.2,3.53611394,0,12.96436389,Overcast
9/4/2025,30.2,25.2,62,29,6.2,5.13611522,0,12.92338889,Partially cloudy
9/5/2025,30.2,26.5,55,24,7.3,5.82500466,0,12.88217778,Partially cloudy
9/6/2025,29.9,26.3,63,22,6.8,5.92222696,0,12.84067778,Partially cloudy
9/7/2025,29.4,25.8,67,45,6.2,5.277782,0,12.79891944,Overcast
9/8/2025,28.4,25.1,65,36,7,5.70000456,0,12.75693056,Overcast
9/9/2025,28.2,24.3,74,34,6.3,5.7083379,0,12.71473611,Overcast
9/10/2025,26.8,24.2,77,28,6.6,4.85278166,0,12.67236667,Overcast
9/11/2025,29.2,24.8,69,69,7.4,3.7638919,8.333333333,12.62984722,Rain
9/12/2025,30.2,25.8,63,3,8.2,5.72500458,0,12.58720556,Partially cloudy
9/13/2025,30.9,26.4,55,20,7.2,5.53889332,0,12.54446667,Partially cloudy
9/14/2025,28.6,25.2,69,13,6.1,5.3888932,0,12.50165833,Overcast
9/15/2025,31.2,25.8,63,5,8.8,5.63333784,0,12.45880556,Partially cloudy
9/16/2025,29.4,25.4,62,0,6.3,5.50833774,0,12.41593333,Clear
9/17/2025,29.3,24.7,70,25,8.5,5.3888932,0,12.37306389,Overcast
9/18/2025,31.3,25.7,46,4,10.3,5.6111156,0,12.33023056,Partially cloudy
9/19/2025,28,24.3,35,0,9.7,5.60000448,0,12.28745278,Clear
9/20/2025,28.1,24,45,0,8.5,5.44167102,0,12.24475556,Clear
9/21/2025,28.7,24.2,51,0,7.9,5.41944878,0,12.20216667,Clear
