Model,NWP Source,RMSE_pred,MAE_pred,R2_pred,RMSE_VC,Delta_RMSE_vs_VC
Hybrid Anchor-Residual,Open-Meteo historical forecast,29.722,26.367,-1.842,11.145,18.577
Hybrid Anchor-Residual,Visual Crossing original,11.145,7.819,0.6,11.145,0.0
Latent Physical Regularization,Open-Meteo historical forecast,18.301,16.045,-0.077,9.785,8.516
Latent Physical Regularization,Visual Crossing original,9.785,7.092,0.692,9.785,0.0
MoE-Gated Hybrid,Open-Meteo historical forecast,18.689,15.845,-0.124,10.616,8.073
MoE-Gated Hybrid,Visual Crossing original,10.616,7.924,0.637,10.616,0.0
Pure CNN-BiLSTM-Attn,Open-Meteo historical forecast,16.079,13.834,0.168,9.532,6.547
Pure CNN-BiLSTM-Attn,Visual Crossing original,9.532,6.982,0.708,9.532,0.0
WeatherCalib Pre-Net,Open-Meteo historical forecast,19.491,16.863,-0.222,10.28,9.211
WeatherCalib Pre-Net,Visual Crossing original,10.28,7.417,0.66,10.28,0.0
