Model,seed,best_epoch,epochs_ran,best_val_rmse,train_wall_clock_seconds,run_wall_clock_seconds,stop_reason
Pure CNN-BiLSTM-Attn,11,418,483,6.699366092681885,40.318790326,40.60499778899998,min_lr
Pure CNN-BiLSTM-Attn,22,368,433,6.326307773590088,34.33530100599995,34.63130662400005,min_lr
Pure CNN-BiLSTM-Attn,33,320,388,6.4370598793029785,30.99190356500003,31.196009351000043,min_lr
Pure CNN-BiLSTM-Attn,44,359,428,6.2419209480285645,34.11100860499994,34.2967613269999,min_lr
Pure CNN-BiLSTM-Attn,55,431,502,6.44410514831543,39.614342122999915,39.799418998999954,min_lr
Hybrid Anchor-Residual,11,1692,1705,7.002118110656738,197.55876217399998,197.78277465400004,min_lr
Hybrid Anchor-Residual,22,1515,1569,6.671971797943115,183.98230905499997,184.23243578000006,min_lr
Hybrid Anchor-Residual,33,1841,1854,6.981945514678955,213.10319176400003,213.31811551299995,min_lr
Hybrid Anchor-Residual,44,1221,1287,6.6897993087768555,138.98282567399997,139.198857395,min_lr
Hybrid Anchor-Residual,55,1486,1548,7.016365051269531,166.879149182,167.08798365000007,min_lr
MoE-Gated Hybrid,11,598,658,6.947188377380371,60.693032397000025,60.87836623699991,patience
MoE-Gated Hybrid,22,651,711,6.968933582305908,65.23076046000006,65.42513872200016,patience
MoE-Gated Hybrid,33,705,765,7.233623504638672,70.80470212,70.99112937999985,patience
MoE-Gated Hybrid,44,670,730,6.8524932861328125,69.56148497000004,69.75709558900007,patience
MoE-Gated Hybrid,55,647,707,6.885083198547363,65.28651596999998,65.551983974,patience
Latent Physical Regularization,11,312,379,6.390744209289551,29.77356415899999,29.97696205699981,min_lr
Latent Physical Regularization,22,335,394,6.445724010467529,30.989841161999948,31.27209237000011,min_lr
Latent Physical Regularization,33,356,421,6.310039520263672,33.588663936999865,33.78088264299981,min_lr
Latent Physical Regularization,44,355,420,6.665964603424072,33.37227335200009,33.55943490000004,min_lr
Latent Physical Regularization,55,396,469,6.561951637268066,37.039991698999984,37.22450628599995,min_lr
WeatherCalib Pre-Net,11,388,454,6.343526840209961,34.483304064000095,34.67843449099996,min_lr
WeatherCalib Pre-Net,22,399,471,7.325183391571045,35.747564237000006,36.038767993999954,min_lr
WeatherCalib Pre-Net,33,384,446,6.549188613891602,33.43829783399997,33.63852275199997,min_lr
WeatherCalib Pre-Net,44,378,440,6.73789644241333,33.41033099900005,33.59149073499975,min_lr
WeatherCalib Pre-Net,55,262,328,6.683698654174805,24.89812163500028,25.078844446999938,min_lr
